 A JE                    137-131-8227     1969
 A VORLHNG               881-219-1295     6693
 A VORLHNG               881-219-1295     5364
 A VORLHNG               881-219-1295     2984
 A VORLHNG               881-219-1295      481
 A VORLHNG               881-219-1295     1176
 A VORLHNG               881-219-1295     4225
 A VORLHNG               881-219-1295     4819
 A VORLHNG               881-219-1295     6099
 A VORLHNG               881-219-1295     1728
 AA RGDWW                896-151-5657     6104
 AA RGDWW                896-151-5657     4824
 AA RGDWW                896-151-5657     1733
 AA RGDWW                896-151-5657     6698
 AA RGDWW                896-151-5657     4230
 AA RGDWW                896-151-5657      486
 AA RGDWW                896-151-5657     2989
 AA RGDWW                896-151-5657     5369
 AA RGDWW                896-151-5657     1181
 AATC DK                 237-662-6495     4648
 AATC DK                 237-662-6495     2356
 AATC DK                 237-662-6495     1005
 AATC DK                 237-662-6495     3311
 AATC DK                 237-662-6495     5193
 AATC DK                 237-662-6495     4054
 AATC DK                 237-662-6495     7068
 AATC DK                 237-662-6495     2813
 AATC DK                 237-662-6495     5928
 AATC DK                 237-662-6495      310
 AATC DK                 237-662-6495     6522
 AATC DK                 237-662-6495     7953
 AATC DK                 237-662-6495     1557
 ABJWUU QRO              642-893-5483      653
 ABJWUU QRO              642-893-5483     1900
 ABYUJAB LN              290-529-0867     1907
 ABYUJAB LN              290-529-0867      660
 ADINSQFDUQT IUVDTCFS    399-309-2862     1983
 ADNEYPEQXIEDG NF        638-421-1948     4180
 ADNEYPEQXIEDG NF        638-421-1948     2939
 ADNEYPEQXIEDG NF        638-421-1948     2482
 ADNEYPEQXIEDG NF        638-421-1948     6648
 ADNEYPEQXIEDG NF        638-421-1948     5319
 ADNEYPEQXIEDG NF        638-421-1948     1131
 ADNEYPEQXIEDG NF        638-421-1948     3437
 ADNEYPEQXIEDG NF        638-421-1948     1683
 ADNEYPEQXIEDG NF        638-421-1948     4774
 ADNEYPEQXIEDG NF        638-421-1948      436
 ADNEYPEQXIEDG NF        638-421-1948     6054
 AE TNYOO                120-061-0013     2545
 AE TNYOO                120-061-0013     1289
 AE TNYOO                120-061-0013     7685
 AE TNYOO                120-061-0013     2088
 AE TNYOO                120-061-0013     4380
 AE TNYOO                120-061-0013     5660
 AE TNYOO                120-061-0013     3043
 AE TNYOO                120-061-0013     7458
 AE TNYOO                120-061-0013     5455
 AE TNYOO                120-061-0013     4925
 AE TNYOO                120-061-0013     7166
 AE TNYOO                120-061-0013       42
 AE TNYOO                120-061-0013     6800
 AE TNYOO                120-061-0013     3510
 AE TNYOO                120-061-0013     3786
 AE TNYOO                120-061-0013      737
 AE TNYOO                120-061-0013     6254
 AFIU COBPH              096-090-3672     6123
 AFIU COBPH              096-090-3672     6717
 AFIU COBPH              096-090-3672     1752
 AFIU COBPH              096-090-3672      505
 AFIU COBPH              096-090-3672     4843
 AFIU COBPH              096-090-3672     1200
 AFIU COBPH              096-090-3672     4249
 AFIU COBPH              096-090-3672     5388
 AFQVKDFC FU             653-033-4646     3949
 AFQVKDFC FU             653-033-4646     3206
 AFQVKDFC FU             653-033-4646     6417
 AFQVKDFC FU             653-033-4646     4543
 AFQVKDFC FU             653-033-4646      900
 AFQVKDFC FU             653-033-4646     7621
 AFQVKDFC FU             653-033-4646     7329
 AFQVKDFC FU             653-033-4646      205
 AFQVKDFC FU             653-033-4646     2708
 AFQVKDFC FU             653-033-4646     1452
 AFQVKDFC FU             653-033-4646     2251
 AFQVKDFC FU             653-033-4646     5618
 AFQVKDFC FU             653-033-4646     5823
 AFQVKDFC FU             653-033-4646     6963
 AFQVKDFC FU             653-033-4646     7848
 AFQVKDFC FU             653-033-4646     5088
 AFQVKDFC FU             653-033-4646     3673
 AGD JOCYDO              016-211-8545      681
 AGD JOCYDO              016-211-8545     1928
 AGKEVGQWH L             689-785-2407     7276
 AGKEVGQWH L             689-785-2407     3620
 AGKEVGQWH L             689-785-2407     7568
 AGKEVGQWH L             689-785-2407     7795
 AGKEVGQWH L             689-785-2407     3896
 AGKEVGQWH L             689-785-2407     2655
 AGKEVGQWH L             689-785-2407     1399
 AGKEVGQWH L             689-785-2407     4490
 AGKEVGQWH L             689-785-2407     5770
 AGKEVGQWH L             689-785-2407     2198
 AGKEVGQWH L             689-785-2407     3153
 AGKEVGQWH L             689-785-2407     6910
 AGKEVGQWH L             689-785-2407     5035
 AGKEVGQWH L             689-785-2407      152
 AGKEVGQWH L             689-785-2407      847
 AGKEVGQWH L             689-785-2407     6364
 AGKEVGQWH L             689-785-2407     5565
 AGSANO IEMX             010-827-6101     7235
 AGSANO IEMX             010-827-6101     3855
 AGSANO IEMX             010-827-6101     3579
 AGSANO IEMX             010-827-6101     5524
 AGSANO IEMX             010-827-6101     4449
 AGSANO IEMX             010-827-6101     6323
 AGSANO IEMX             010-827-6101     7527
 AGSANO IEMX             010-827-6101     2614
 AGSANO IEMX             010-827-6101      111
 AGSANO IEMX             010-827-6101     3112
 AGSANO IEMX             010-827-6101     2157
 AGSANO IEMX             010-827-6101     7754
 AGSANO IEMX             010-827-6101     1358
 AGSANO IEMX             010-827-6101     6869
 AGSANO IEMX             010-827-6101      806
 AGSANO IEMX             010-827-6101     4994
 AGSANO IEMX             010-827-6101     5729
 AGWQLJHYNJ IY           933-610-2264     1310
 AGWQLJHYNJ IY           933-610-2264     7706
 AGWQLJHYNJ IY           933-610-2264     2566
 AGWQLJHYNJ IY           933-610-2264     7187
 AGWQLJHYNJ IY           933-610-2264       63
 AGWQLJHYNJ IY           933-610-2264     5476
 AGWQLJHYNJ IY           933-610-2264     2109
 AGWQLJHYNJ IY           933-610-2264     4946
 AGWQLJHYNJ IY           933-610-2264     3531
 AGWQLJHYNJ IY           933-610-2264      758
 AGWQLJHYNJ IY           933-610-2264     7479
 AGWQLJHYNJ IY           933-610-2264     6821
 AGWQLJHYNJ IY           933-610-2264     3807
 AGWQLJHYNJ IY           933-610-2264     4401
 AGWQLJHYNJ IY           933-610-2264     3064
 AGWQLJHYNJ IY           933-610-2264     5681
 AGWQLJHYNJ IY           933-610-2264     6275
 AHMCVCPXHYTB V          522-597-9168     1881
 AHMCVCPXHYTB V          522-597-9168      634
 AHS ME                  512-990-3624      577
 AHS ME                  512-990-3624     4321
 AHS ME                  512-990-3624     1824
 AHS ME                  512-990-3624     6195
 AIHQPGCRIWBY TFY        168-732-4433     1010
 AIHQPGCRIWBY TFY        168-732-4433     7073
 AIHQPGCRIWBY TFY        168-732-4433     1562
 AIHQPGCRIWBY TFY        168-732-4433     5198
 AIHQPGCRIWBY TFY        168-732-4433     4653
 AIHQPGCRIWBY TFY        168-732-4433     2361
 AIHQPGCRIWBY TFY        168-732-4433      315
 AIHQPGCRIWBY TFY        168-732-4433     6527
 AIHQPGCRIWBY TFY        168-732-4433     5933
 AIHQPGCRIWBY TFY        168-732-4433     7958
 AIHQPGCRIWBY TFY        168-732-4433     2818
 AIHQPGCRIWBY TFY        168-732-4433     3316
 AIHQPGCRIWBY TFY        168-732-4433     4059
 AJLDGMK LXFRXK          154-973-4578     5005
 AJLDGMK LXFRXK          154-973-4578     6880
 AJLDGMK LXFRXK          154-973-4578     7765
 AJLDGMK LXFRXK          154-973-4578      122
 AJLDGMK LXFRXK          154-973-4578     6334
 AJLDGMK LXFRXK          154-973-4578     5535
 AJLDGMK LXFRXK          154-973-4578     2625
 AJLDGMK LXFRXK          154-973-4578     2168
 AJLDGMK LXFRXK          154-973-4578     3866
 AJLDGMK LXFRXK          154-973-4578     7538
 AJLDGMK LXFRXK          154-973-4578     3590
 AJLDGMK LXFRXK          154-973-4578     5740
 AJLDGMK LXFRXK          154-973-4578     7246
 AJLDGMK LXFRXK          154-973-4578     3123
 AJLDGMK LXFRXK          154-973-4578     4460
 AJLDGMK LXFRXK          154-973-4578     1369
 AJLDGMK LXFRXK          154-973-4578      817
 AJSIHWRTI KQF           902-418-8879     1026
 AJSIHWRTI KQF           902-418-8879     7089
 AJSIHWRTI KQF           902-418-8879     7974
 AJSIHWRTI KQF           902-418-8879     6543
 AJSIHWRTI KQF           902-418-8879     4669
 AJSIHWRTI KQF           902-418-8879     4075
 AJSIHWRTI KQF           902-418-8879     5949
 AJSIHWRTI KQF           902-418-8879     2377
 AJSIHWRTI KQF           902-418-8879     2834
 AJSIHWRTI KQF           902-418-8879      331
 AJSIHWRTI KQF           902-418-8879     5214
 AJSIHWRTI KQF           902-418-8879     3332
 AJSIHWRTI KQF           902-418-8879     1578
 AKPQSQBOECIICJ GG       914-815-4182      995
 AKPQSQBOECIICJ GG       914-815-4182     7058
 AKPQSQBOECIICJ GG       914-815-4182     5918
 AKPQSQBOECIICJ GG       914-815-4182     1547
 AKPQSQBOECIICJ GG       914-815-4182     4638
 AKPQSQBOECIICJ GG       914-815-4182     2803
 AKPQSQBOECIICJ GG       914-815-4182     5183
 AKPQSQBOECIICJ GG       914-815-4182      300
 AKPQSQBOECIICJ GG       914-815-4182     4044
 AKPQSQBOECIICJ GG       914-815-4182     7943
 AKPQSQBOECIICJ GG       914-815-4182     3301
 AKPQSQBOECIICJ GG       914-815-4182     6512
 AKPQSQBOECIICJ GG       914-815-4182     2346
 AMPV FML                634-496-2500     7368
 AMPV FML                634-496-2500     7002
 AMPV FML                634-496-2500     6456
 AMPV FML                634-496-2500     5862
 AMPV FML                634-496-2500     1491
 AMPV FML                634-496-2500     3245
 AMPV FML                634-496-2500     3988
 AMPV FML                634-496-2500      244
 AMPV FML                634-496-2500     7887
 AMPV FML                634-496-2500     3712
 AMPV FML                634-496-2500     5127
 AMPV FML                634-496-2500     2290
 AMPV FML                634-496-2500     2747
 AMPV FML                634-496-2500     4582
 AMPV FML                634-496-2500      939
 AODTKRHTITTT FJY        252-248-0473     2009
 AOOPFK IEMQEC           704-136-5393     7189
 AOOPFK IEMQEC           704-136-5393     2568
 AOOPFK IEMQEC           704-136-5393     1312
 AOOPFK IEMQEC           704-136-5393     4403
 AOOPFK IEMQEC           704-136-5393     4948
 AOOPFK IEMQEC           704-136-5393     3066
 AOOPFK IEMQEC           704-136-5393     3809
 AOOPFK IEMQEC           704-136-5393     3533
 AOOPFK IEMQEC           704-136-5393     7708
 AOOPFK IEMQEC           704-136-5393     6277
 AOOPFK IEMQEC           704-136-5393      760
 AOOPFK IEMQEC           704-136-5393     6823
 AOOPFK IEMQEC           704-136-5393     7481
 AOOPFK IEMQEC           704-136-5393       65
 AOOPFK IEMQEC           704-136-5393     5478
 AOOPFK IEMQEC           704-136-5393     5683
 AOOPFK IEMQEC           704-136-5393     2111
 ARWSFNAKE LABIXPX       104-726-9552     3826
 ARWSFNAKE LABIXPX       104-726-9552     6294
 ARWSFNAKE LABIXPX       104-726-9552     3083
 ARWSFNAKE LABIXPX       104-726-9552     7498
 ARWSFNAKE LABIXPX       104-726-9552       82
 ARWSFNAKE LABIXPX       104-726-9552     4420
 ARWSFNAKE LABIXPX       104-726-9552     1329
 ARWSFNAKE LABIXPX       104-726-9552     6840
 ARWSFNAKE LABIXPX       104-726-9552     4965
 ARWSFNAKE LABIXPX       104-726-9552     7206
 ARWSFNAKE LABIXPX       104-726-9552     2128
 ARWSFNAKE LABIXPX       104-726-9552     5495
 ARWSFNAKE LABIXPX       104-726-9552     2585
 ARWSFNAKE LABIXPX       104-726-9552     7725
 ARWSFNAKE LABIXPX       104-726-9552     5700
 ARWSFNAKE LABIXPX       104-726-9552     3550
 ARWSFNAKE LABIXPX       104-726-9552      777
 AS CQPV                 898-566-8075     1117
 AS CQPV                 898-566-8075      422
 AS CQPV                 898-566-8075     6040
 AS CQPV                 898-566-8075     1669
 AS CQPV                 898-566-8075     2468
 AS CQPV                 898-566-8075     4166
 AS CQPV                 898-566-8075     3423
 AS CQPV                 898-566-8075     5305
 AS CQPV                 898-566-8075     2925
 AS CQPV                 898-566-8075     4760
 AS CQPV                 898-566-8075     6634
 ASJGXYUAKMKHRN S        844-454-1585     2558
 ASJGXYUAKMKHRN S        844-454-1585     3523
 ASJGXYUAKMKHRN S        844-454-1585     3799
 ASJGXYUAKMKHRN S        844-454-1585     4393
 ASJGXYUAKMKHRN S        844-454-1585      750
 ASJGXYUAKMKHRN S        844-454-1585     5468
 ASJGXYUAKMKHRN S        844-454-1585     7471
 ASJGXYUAKMKHRN S        844-454-1585     5673
 ASJGXYUAKMKHRN S        844-454-1585     4938
 ASJGXYUAKMKHRN S        844-454-1585     6813
 ASJGXYUAKMKHRN S        844-454-1585     1302
 ASJGXYUAKMKHRN S        844-454-1585     3056
 ASJGXYUAKMKHRN S        844-454-1585     7179
 ASJGXYUAKMKHRN S        844-454-1585     2101
 ASJGXYUAKMKHRN S        844-454-1585     6267
 ASJGXYUAKMKHRN S        844-454-1585       55
 ASJGXYUAKMKHRN S        844-454-1585     7698
 ASJN FOEYKC             469-078-0557     7071
 ASJN FOEYKC             469-078-0557     1560
 ASJN FOEYKC             469-078-0557     7956
 ASJN FOEYKC             469-078-0557     5931
 ASJN FOEYKC             469-078-0557      313
 ASJN FOEYKC             469-078-0557     3314
 ASJN FOEYKC             469-078-0557     6525
 ASJN FOEYKC             469-078-0557     4057
 ASJN FOEYKC             469-078-0557     1008
 ASJN FOEYKC             469-078-0557     4651
 ASJN FOEYKC             469-078-0557     2359
 ASJN FOEYKC             469-078-0557     2816
